"X" "Pressure" "Temperature" "Density" "Velocity" "H2" "H" "O2" "O" "OH" "HO2" "H2O" "CH3" "CH4" "CO" "CO2" "CH2O" "N2" 
5.284226093663651e-06 682803.1501271505 1499.363627662492 1.5135265559896804 1489.7424967016261 3.4969462197058355e-11 1.3469039679107209e-11 0.22014117632619282 1.6778072145286644e-11 1.6799821990697708e-11 6.325669038115159e-08 2.4454510863237795e-12 2.955473302783035e-08 0.05518663444531769 1.9794291450800736e-17 3.8336457766935544e-25 1.5836864633174744e-12 0.7246720963310207
5.478040569321093e-06 682803.1513078085 1499.3636165764406 1.513526569748395 1489.7424993645636 3.6922963784101245e-11 1.3617071124617027e-11 0.2201411740751825 1.7695202239066306e-11 1.7683991240044893e-11 6.557652648341919e-08 2.6809773290195245e-12 3.0643873069419745e-08 0.05518663328309393 2.2294558074086362e-17 4.477957886072192e-25 1.7032804246576319e-12 0.7246720963310207
5.671855043216657e-06 682803.152488478 1499.363605490239 1.5135265835072422 1489.7425020275264 3.889709384321345e-11 1.3755209963906813e-11 0.2201411718241783 1.8620012606416088e-11 1.8572346166894523e-11 6.789633077669965e-08 2.928611143381581e-12 3.1733178217567706e-08 0.055186632120691595 2.500453648185421e-17 5.202162827148956e-25 1.827313689127712e-12 0.7246720963310207
5.865669515350323e-06 682803.1536691586 1499.3635944038897 1.51352659726622 1489.7425046905148 4.089047999779012e-11 1.3884202185669232e-11 0.22014116957318206 1.9551807618453152e-11 1.946416706243585e-11 7.02161026741818e-08 3.1884047254846183e-12 3.282263830437967e-08 0.05518663095812158 2.7933260907937854e-17 6.01284655144498e-25 1.9557946820662416e-12 0.7246720963310207
6.059483985722076e-06 682803.1548498506 1499.3635833173926 1.5135266110253287 1489.7425073535283 4.290185337228589e-11 1.4004737536555631e-11 0.22014116732219555 2.048994459303183e-11 2.0358793495723673e-11 7.253584163257417e-08 3.4604008488862843e-12 3.391224392339965e-08 0.05518662979539387 3.1089776435123283e-17 6.916874579972421e-25 2.088731791376694e-12 0.7246720963310207
6.253298454331902e-06 682803.1560305535 1499.3635722307397 1.5135266247845671 1489.742510016567 4.493004079116411e-11 1.411745376022832e-11 0.22014116507122045 2.1433829801983884e-11 2.1255619783817644e-11 7.485554714882434e-08 3.74463364290675e-12 3.5001986372277916e-08 0.055186628632517803 3.448313580638896e-17 7.921392423849856e-25 2.226133370290457e-12 0.7246720963310207
6.4471129211797805e-06 682803.1572112676 1499.363561143944 1.5135266385439348 1489.7425126796304 4.697395755177232e-11 1.4222940524544887e-11 0.22014116282025814 2.2382914772115325e-11 2.2154090795944555e-11 7.717521875708035e-08 4.0411293128296074e-12 3.6091857599656175e-08 0.05518662746950191 3.8122396609162636e-17 9.033825915801793e-25 2.3680077399297845e-12 0.7246720963310207
6.656243534302311e-06 682803.1584852996 1499.3635491808504 1.5135266533907783 1489.74251555317 4.919588459955545e-11 1.432928106418186e-11 0.22014116039143006 2.341225101243166e-11 2.3124823789320855e-11 7.967816340635524e-08 4.374831919182229e-12 3.726799155873705e-08 0.05518662621443126 4.233549687522593e-17 1.036409190135214e-24 2.526120195679302e-12 0.7246720963310207
6.865374145373378e-06 682803.1597593444 1499.3635372175786 1.5135266682377715 1489.7425184267386 5.1433797301572356e-11 1.4428469965403658e-11 0.2201411579626201 2.4446465938472922e-11 2.4096297775579032e-11 8.218106757427151e-08 4.722849225595384e-12 3.844425815558529e-08 0.05518662495921627 4.6856829564883315e-17 1.183902869979089e-24 2.6894603308798473e-12 0.7246720963310207
7.0745047543929605e-06 682803.1610334021 1499.3635252541294 1.5135266830849132 1489.7425213003357 5.3686628396029025e-11 1.4521087481495958e-11 0.22014115553382985 2.5485021614040573e-11 2.5067983700638754e-11 8.468393079980718e-08 5.085188196782728e-12 3.9620649449664604e-08 0.055186623703865435 5.169777450891353e-17 1.3469065272083256e-24 2.8580384917671826e-12 0.7246720963310207
